model,param,module,include,initial,lower_limit,upper_limit,provided_initial
dpt,local beta_zero_car_others = 0,preday,TRUE,5.998154867,3.998154867,7.998154867,0
dpt,local beta_one_car_work = 1,preday,TRUE,11.38724769,-10,10,1
dpt,local beta_one_car_edu = 0,preday,TRUE,0.444131053,-1.555868947,2.444131053,0
dpt,local beta_one_car_shop = 1.69,preday,TRUE,-5.480553969,-7.480553969,-3.480553969,1.69
dpt,local beta_one_car_others = 1.56,preday,TRUE,1.56,1.56,1.56,1.56
dpt,local beta_twoplus_car_work = 1,preday,TRUE,1,-3,3,1
dpt,local beta_twoplus_car_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_twoplus_car_shop = 1.32,preday,TRUE,2.988004344,0.988004344,4.988004344,1.32
dpt,local beta_twoplus_car_others = 1.71,preday,TRUE,-1.298010105,-3.298010105,0.701989895,1.71
dpt,local beta_motoravail_work = 1.15,preday,TRUE,4.106656549,2.106656549,6.106656549,1.15
dpt,local beta_motoravail_edu = 0,preday,TRUE,0.306956158,-1.693043842,2.306956158,0
dpt,local beta_motoravail_shop = 0.896,preday,TRUE,5.224670955,3.224670955,7.224670955,0.896
dpt,local beta_motoravail_others = 0.682,preday,TRUE,0.682,0.682,0.682,0.682
dpt,local beta_onetour = 0,preday,TRUE,-9.18616051,-11.18616051,-7.18616051,0
dpt,local beta_twotour = -4.0,preday,TRUE,-4,-4,-4,-4
dpt,local beta_threetour = -4.5,preday,TRUE,-4.5,-4.5,-4.5,-4.5
dpt,local beta_work_logsum = 0.30,preday,TRUE,1.428300829,-0.571699171,3.428300829,0.3
dpt,local beta_edu_logsum = 0,preday,TRUE,-0.425629338,-2.425629338,1.574370662,0
dpt,local beta_shopping_logsum = 0.262,preday,TRUE,7.391759433,5.391759433,9.391759433,0.262
dpt,local beta_other_logsum = 0.301,preday,TRUE,-5.405426709,-7.405426709,-3.405426709,0.301
imd,local beta_cost_bus_mrt_2 = -0.438,preday,TRUE,0,0,0,-0.438
imd,local beta_cost_Rail_SMS_2 = -0.438,preday,TRUE,0,0,0,-0.438
imd,local beta_cost_Rail_SMS_Pool_2 = -0.438,preday,TRUE,0,0,0,-0.438
imd,local beta_cost_private_bus_2 = -0.850,preday,TRUE,0,0,0,-0.85
imd,local beta_cost_drive1_2_first = -0.9,preday,TRUE,0,0,0,-0.9
imd,local beta_cost_drive1_2_second = 0.0598,preday,TRUE,0,0,0,0.0598
imd,local beta_cost_share2_2 = 0,preday,TRUE,0,0,0,0
imd,local beta_cost_share3_2 = 0,preday,TRUE,0,0,0,0
imd,local beta_cost_motor_2 = -0.338,preday,TRUE,0,0,0,-0.338
imd,local beta_cost_taxi_2 = 0,preday,TRUE,0,0,0,0
imd,local beta_cost_SMS_2 = 0,preday,TRUE,0,0,0,0
imd,local beta_cost_SMS_Pool_2 = 0,preday,TRUE,0,0,0,0
imd,local beta_tt_bus_mrt = -3.75,preday,TRUE,0,0,0,-3.75
imd,local beta_tt_Rail_SMS = -3.75,preday,TRUE,0,0,0,-3.75
imd,local beta_tt_Rail_SMS_Pool = -3.75,preday,TRUE,0,0,0,-3.75
imd,local beta_tt_private_bus = -4.22,preday,TRUE,0,0,0,-4.22
imd,local beta_tt_drive1_first = -8,preday,TRUE,0,0,0,-8
imd,local beta_tt_drive1_second = -9,preday,TRUE,0,0,0,-9
imd,local beta_tt_share2= 0,preday,TRUE,0,0,0,0
imd,local beta_tt_share3= 0,preday,TRUE,0,0,0,0
imd,local beta_tt_motor = 0,preday,TRUE,0,0,0,0
imd,local beta_tt_walk = 0,preday,TRUE,0,0,0,0
imd,local beta_tt_taxi_first = -5.63,preday,TRUE,0,0,0,-5.63
